MPCnumber,AdjustedType,AdjustedBand
1,C,no
2,C,no
3,S,
4,Other,V
5,S,
6,S,
7,S,
8,S,
9,S,
10,C,dubious
11,S,
12,S,
13,C,yes
14,S,
15,S,
16,X,
17,S,
18,S,
19,C,yes
20,S,
21,X,
22,X,
23,S,
24,C,no
25,S,
26,S,
27,S,
28,S,
29,S,
30,S,
31,C,dubious
32,S,
33,S,
34,C,yes
35,C,no
36,C,yes
37,S,
38,C,yes
39,S,
40,S,
41,C,yes
42,S,
43,S,
44,X,
45,C,no
46,X,
47,C,no
48,C,yes
49,C,yes
50,C,yes
51,C,yes
52,C,dubious
53,C,yes
54,C,yes
55,X,
56,X,
57,S,
58,C,yes
59,C,no
60,S,
61,S,
62,C,no
63,S,
64,X,
65,dubious,
66,C,yes
67,S,
68,S,
69,X,
70,C,yes
71,dubious,
72,Other,T
73,S,
74,C,no
75,Other,T
76,dubious,
77,X,
78,C,yes
79,S,
80,S,
81,C,no
82,S,
83,X,
84,C,yes
85,C,no
86,C,no
87,X,
88,C,no
89,S,
90,C,no
91,C,dubious
92,X,
93,C,no
94,C,no
95,C,yes
96,Other,
97,X,
98,C,yes
99,X,
100,S,
101,S,
102,C,yes
103,S,
104,C,yes
105,C,yes
106,C,yes
107,X,
108,S,
109,C,yes
110,X,
111,C,yes
112,C,yes
113,S,
114,X,
115,S,
116,S,
117,X,
118,S,
119,S,
120,C,no
121,C,yes
122,S,
123,S,
124,S,
125,X,
126,S,
127,C,yes
128,C,dubious
129,X,
130,C,yes
131,X,
133,S,
134,C,yes
135,X,
136,X,
137,C,yes
138,S,
139,X,
140,X,
141,C,yes
142,C,no
143,C,no
144,C,yes
145,C,yes
146,C,yes
147,C,no
148,S,
149,S,
150,C,no
151,S,
152,S,
154,C,no
156,C,yes
158,S,
159,C,yes
160,dubious,
161,X,
162,C,yes
163,C,yes
164,X,
165,C,dubious
166,X,
167,S,
168,C,yes
169,S,
170,S,
171,C,no
172,Other,L
173,dubious,
174,S,
175,C,no
176,C,yes
177,C,yes
178,S,
179,S,
180,S,
181,X,
182,S,
183,S,
184,X,
185,C,dubious
186,S,
187,C,yes
188,S,
189,S,
191,C,no
192,S,
193,S,
194,C,yes
195,C,yes
196,S,
