number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
13	Egeria	nan	None	2.5763	nan	0.1265	nan	0.2766	nan	0.15	nan	6.85	nan	8.05e+18	6.43e+17	209.05	1.703	0.00475	0.000039	0.073	0.0038
19	Fortuna	nan	None	2.4420	nan	0.1349	nan	0.0388	nan	0.15	nan	7.38	nan	8.27e+18	1.76e+17	196.72	0.295	0.00508	0.000008	0.053	0.0048
29	Amphitrite	nan	None	2.5543	nan	0.0738	nan	0.1123	nan	0.15	nan	6.05	nan	1.29e+19	3.17e+17	197.01	0.923	0.00501	0.000023	0.161	0.0055
34	Circe	nan	None	2.6868	nan	0.1449	nan	0.0975	nan	0.15	nan	8.63	nan	2.42e+18	5.74e+17	121.44	0.644	0.00807	0.000043	0.056	0.0020
36	Atalante	nan	None	2.7495	nan	0.2779	nan	0.3247	nan	0.15	nan	8.62	nan	1.05e+18	3.05e+17	110.01	1.261	0.00907	0.000104	0.060	0.0024
41	Daphne	nan	None	2.7641	nan	0.3047	nan	0.2677	nan	0.15	nan	7.44	nan	6.4e+18	1.04e+17	197.36	0.597	0.00502	0.000015	0.073	0.0028
48	Doris	nan	None	3.1124	nan	0.0636	nan	0.1153	nan	0.15	nan	7.16	nan	1.09e+16	3.76e+16	211.46	1.911	0.00468	0.000042	0.059	0.0025
50	Virginia	nan	None	2.6498	nan	0.2445	nan	0.0467	nan	0.15	nan	9.34	nan	1.01e+18	2.33e+17	84.39	0.222	0.01184	0.000031	0.038	0.0017
53	Kalypso	nan	None	2.6186	nan	0.2194	nan	0.0801	nan	0.15	nan	8.90	nan	1.33e+18	4.58e+17	105.38	0.890	0.00937	0.000079	0.039	0.0013
58	Concordia	128	Nemesis	2.7000	nan	0.0850	nan	0.0824	nan	0.15	nan	9.04	nan	4.33e+17	1.04e+17	97.29	0.456	0.01010	0.000047	0.055	0.0020
78	Diana	nan	None	2.6213	nan	0.2371	nan	0.1567	nan	0.15	nan	8.38	nan	9.38e+17	2.09e+17	124.52	1.326	0.00800	0.000085	0.067	0.0024
86	Semele	nan	None	3.1064	nan	0.1805	nan	0.0634	nan	0.15	nan	8.75	nan	1.56e+18	5.65e+17	111.65	0.534	0.00893	0.000043	0.048	0.0017
95	Arethusa	nan	None	3.0689	nan	0.1281	nan	0.2377	nan	0.15	nan	8.05	nan	1.42e+18	3.58e+17	141.99	1.919	0.00693	0.000094	0.069	0.0035
106	Dione	nan	None	3.1701	nan	0.1454	nan	0.0626	nan	0.15	nan	7.61	nan	2.56e+18	8.89e+17	167.34	1.262	0.00544	0.000041	0.085	0.0023
111	Ate	nan	None	2.5941	nan	0.1246	nan	0.1013	nan	0.15	nan	8.20	nan	1.98e+18	1.87e+17	129.19	0.215	0.00765	0.000013	0.052	0.0023
130	Elektra	nan	None	3.1180	nan	0.1853	nan	0.3765	nan	0.15	nan	7.21	nan	7.7e+17	1.14e+17	181.43	1.350	0.00545	0.000041	0.084	0.0041
137	Meliboea	137	Meliboea	3.1186	nan	0.1864	nan	0.2505	nan	0.15	nan	8.18	nan	2.63e+18	7.82e+17	136.41	0.477	0.00684	0.000024	0.051	0.0016
145	Adeona	145	Adeona	2.6727	nan	0.1692	nan	0.2028	nan	0.15	nan	8.24	nan	2.06e+15	1.55e+15	127.02	0.291	0.00786	0.000018	0.047	0.0014
146	Lucina	nan	None	2.7187	nan	0.0920	nan	0.2086	nan	0.15	nan	8.38	nan	2.02e+18	4.82e+17	142.58	0.812	0.00675	0.000038	0.051	0.0015
