number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
2	Pallas	2	Pallas	2.7706	nan	0.2809	nan	0.5472	nan	0.15	nan	4.22	nan	2.04e+20	1.79e+17	513.74	3.362	0.00194	0.000013	0.150	0.0063
10	Hygiea	10	Hygiea	3.1418	nan	0.1358	nan	0.0890	nan	0.15	nan	5.55	nan	8.42e+19	5.64e+17	409.21	3.537	0.00241	0.000021	0.072	0.0016
24	Themis	24	Themis	3.1345	nan	0.1534	nan	0.0190	nan	0.15	nan	7.25	nan	5.41e+18	7e+17	184.11	1.627	0.00539	0.000048	0.065	0.0056
31	Euphrosyne	31	Euphrosyne	3.1552	nan	0.2084	nan	0.4469	nan	0.15	nan	6.86	nan	1.43e+19	8.23e+17	270.59	1.715	0.00369	0.000023	0.048	0.0018
44	Nysa	44	Nysa	2.4227	nan	0.1734	nan	0.0534	nan	0.15	nan	6.94	nan	5.43e+17	2.77e+17	75.39	0.655	0.01325	0.000116	0.505	0.0187
47	Aglaja	nan	None	2.8801	nan	0.1129	nan	0.0908	nan	0.15	nan	8.16	nan	1.69e+18	3.83e+17	156.68	1.025	0.00615	0.000040	0.071	0.0032
59	Elpis	nan	None	2.7133	nan	0.0729	nan	0.1454	nan	0.15	nan	8.04	nan	1e+19	3.24e+16	159.70	1.515	0.00622	0.000059	0.045	0.0018
62	Erato	24	Themis	3.1217	nan	0.1504	nan	0.0226	nan	0.15	nan	8.80	nan	5.12e+17	1.03e+17	95.92	0.495	0.00992	0.000051	0.065	0.0021
74	Galatea	nan	None	2.7795	nan	0.1996	nan	0.0741	nan	0.15	nan	8.76	nan	1.53e+18	2.33e+17	118.81	1.439	0.00834	0.000101	0.039	0.0012
85	Io	15	Eunomia	2.6537	nan	0.1516	nan	0.2187	nan	0.15	nan	7.77	nan	4.51e+18	7.27e+17	156.22	1.316	0.00636	0.000054	0.065	0.0022
88	Thisbe	nan	None	2.7682	nan	0.1454	nan	0.1093	nan	0.15	nan	7.27	nan	3.73e+14	1.81e+14	200.36	2.047	0.00497	0.000051	0.062	0.0020
90	Antiope	24	Themis	3.1462	nan	0.1545	nan	0.0232	nan	0.15	nan	8.22	nan	8.19e+17	1.96e+16	107.78	0.616	0.00857	0.000049	0.058	0.0024
120	Lachesis	nan	None	3.1171	nan	0.0864	nan	0.1327	nan	0.15	nan	7.79	nan	5.69e+18	1.11e+18	159.31	0.804	0.00623	0.000031	0.045	0.0012
142	Polana	44	Nysa	2.4184	nan	0.1574	nan	0.0577	nan	0.15	nan	10.30	nan	nan	nan	54.49	0.254	0.01830	0.000085	0.041	0.0017
150	Nuwa	nan	None	2.9821	nan	0.0923	nan	0.0492	nan	0.15	nan	8.49	nan	1.04e+18	2.99e+17	134.09	1.065	0.00726	0.000058	0.038	0.0012
154	Bertha	nan	None	3.1844	nan	0.1321	nan	0.3449	nan	0.15	nan	7.71	nan	5.96e+18	1.99e+18	186.33	1.250	0.00535	0.000036	0.047	0.0012
164	Eva	nan	None	2.6329	nan	0.2729	nan	0.4291	nan	0.15	nan	8.83	nan	1.99e+18	4.19e+17	99.77	0.677	0.00993	0.000067	0.044	0.0013
171	Ophelia	24	Themis	3.1361	nan	0.1537	nan	0.0235	nan	0.15	nan	8.60	nan	1.04e+18	3.78e+17	111.58	0.730	0.00867	0.000057	0.064	0.0025
175	Andromache	nan	None	3.2086	nan	0.1893	nan	0.0533	nan	0.15	nan	8.52	nan	1.46e+18	3.34e+17	104.89	0.638	0.00928	0.000057	0.081	0.0028
185	Eunike	nan	None	2.7386	nan	0.1266	nan	0.3845	nan	0.15	nan	7.70	nan	5.83e+18	1.19e+18	159.15	1.121	0.00624	0.000044	0.064	0.0016
191	Kolga	nan	None	2.8955	nan	0.0551	nan	0.1917	nan	0.15	nan	9.01	nan	9.42e+17	2.91e+17	95.25	0.404	0.01048	0.000045	0.041	0.0024
206	Hersilia	nan	None	2.7407	nan	0.0496	nan	0.0553	nan	0.15	nan	8.77	nan	1.09e+18	4.77e+17	96.75	0.628	0.01030	0.000067	0.061	0.0034
209	Dido	nan	None	3.1474	nan	0.0738	nan	0.1303	nan	0.15	nan	8.26	nan	1.24e+18	5.95e+17	151.09	0.720	0.00607	0.000029	0.035	0.0009
210	Isabella	128	Nemesis	2.7220	nan	0.0954	nan	0.0820	nan	0.15	nan	9.46	nan	5.18e+17	5.43e+16	90.69	0.420	0.01062	0.000049	0.044	0.0017
213	Lilaea	nan	None	2.7519	nan	0.1471	nan	0.1024	nan	0.15	nan	8.96	nan	4.56e+17	9.6e+16	79.99	0.622	0.01242	0.000097	0.084	0.0032
214	Aschera	nan	None	2.6114	nan	0.0858	nan	0.0673	nan	0.15	nan	9.28	nan	nan	nan	25.77	0.128	0.03665	0.000182	0.373	0.0184
241	Germania	nan	None	3.0497	nan	0.0694	nan	0.1173	nan	0.15	nan	7.77	nan	5.01e+18	1.93e+18	172.95	1.414	0.00571	0.000047	0.059	0.0016
247	Eukrate	nan	None	2.7411	nan	0.2020	nan	0.4274	nan	0.15	nan	8.25	nan	1.9e+18	5.87e+17	133.01	0.473	0.00747	0.000027	0.054	0.0014
265	Anna	nan	None	2.4208	nan	0.2418	nan	0.4558	nan	0.15	nan	11.96	nan	nan	nan	23.91	0.311	0.04110	0.000535	0.051	0.0064
282	Clorinde	nan	None	2.3393	nan	0.1017	nan	0.1531	nan	0.15	nan	11.03	nan	nan	nan	34.01	0.148	0.02906	0.000126	0.045	0.0019
314	Rosalia	nan	None	3.1520	nan	0.1595	nan	0.2041	nan	0.15	nan	10.01	nan	nan	nan	61.69	0.241	0.01603	0.000063	0.066	0.0029
316	Goberta	24	Themis	3.1724	nan	0.1374	nan	0.0236	nan	0.15	nan	10.11	nan	nan	nan	57.20	0.377	0.01734	0.000114	0.068	0.0029
318	Magdalena	nan	None	3.2019	nan	0.0694	nan	0.1770	nan	0.15	nan	9.47	nan	nan	nan	86.17	0.088	0.01128	0.000012	0.035	0.0001
324	Bamberga	nan	None	2.6832	nan	0.2971	nan	0.2101	nan	0.15	nan	7.05	nan	1.06e+19	1.34e+17	232.00	1.080	0.00425	0.000020	0.057	0.0019
329	Svea	329	Svea	2.4756	nan	0.0842	nan	0.2772	nan	0.15	nan	9.66	nan	3.27e+17	1.09e+17	76.02	0.345	0.01296	0.000059	0.040	0.0008
335	Roberta	nan	None	2.4749	nan	0.1656	nan	0.0853	nan	0.15	nan	9.09	nan	7.44e+17	1.62e+17	92.86	0.524	0.01071	0.000060	0.053	0.0020
379	Huenna	24	Themis	3.1360	nan	0.1559	nan	0.0309	nan	0.15	nan	8.99	nan	3.83e+17	1.99e+16	87.90	0.657	0.01110	0.000083	0.059	0.0016
381	Myrrha	nan	None	3.2097	nan	0.1187	nan	0.2015	nan	0.15	nan	8.42	nan	2.87e+18	1.03e+18	121.76	0.927	0.00817	0.000062	0.058	0.0019
383	Janina	24	Themis	3.1341	nan	0.1525	nan	0.0247	nan	0.15	nan	9.93	nan	nan	nan	42.28	0.295	0.02332	0.000163	0.079	0.0043
419	Aurelia	nan	None	2.5944	nan	0.2620	nan	0.0811	nan	0.15	nan	8.61	nan	1.95e+18	2.2e+17	130.82	0.954	0.00738	0.000054	0.048	0.0018
